,review,label
0,3999。,2
1,号。,2
2,客服代表为您服务，您好！,2
3,有什么可以帮您。,2
4,喂你好，就是我想查一下我这个手机呢,2
5,存在的那个套餐，吗500块钱套餐，那个我们之前有没有预存过话费用？,2
6,身先查看中，请稍等一下！,2
7,嗯,2
8,你说你们之前有没有预送话费，您看大概是多久之前呢有没有一个具体的时间点？,2
9,嗯。,2
10,在今年3月份的样子，吧。,2
11,您再稍等一下！,2
12,或者是去年的12月，,2
13,请您稍等一下！,2
14,要么就是今年1月份开始，,2
15,你印象里面大概预算多少？呢有？,2
16,2400，他说的。,2
17,那应该是没有的，因为您的费用我看了一下，我是从去年11月开始给你查的。,2
18,您是每个月既然是代交的，,2
19,10月1号交一个100，11月10号交了200。,2
20,嗯你稍等一下，我去一下！,2
21,去年。,2
22,就是2018年嘛,2
23,2018年2018年10月交了。,2
24,多少呢？,2
25,11月你有交费的记录，交一个100。,2
26,嗯然后。,2
27,11月呢,2
28,应该是11月交了一个100两个200。,2
29,是总共交500块钱，12月的话你也是交我看一下就是您交。,2
30,呀。,2
31,11月您交了一个100两个200就是500块钱。,2
32,啊十十月。,2
33,为请您稍等一下，,2
34,10月份先交一个100，后面交了一个300，总共交了400块。,2
35,10月交了一个100，交了个300。,2
36,然后11。,2
37,月交了个100+两百两百！,2
38,12月呢,2
39,一个100块。,2
40,一个100块。,2
41,然后1月份交了100，,2
42,1月份交了100，交了。,2
43,1月份1月份除了100以外，还有两个200块钱和一个30，,2
44,嗯然后呢2月呢,2
45,月份还有啊1月份还有两个五块，就是十块钱加起来，一个噢月份有一个五块，,2
46,30过后还有一个五块，2月份的话就一个30元的费用到账。,2
47,嗯一个五块用到这,2
48,一个100到账，然后还有后后面交一个500，3月份交了一个100和一个500。,2
49,嗯100,2
50,500，4月份交了100块。,2
51,4月份交了100块。,2
52,100。,2
53,5月。,2
54,请您稍等一下！,2
55,嗯,2
56,5月份有个100元到账，嗯,2
57,后面就是有一个300。,2
58,嗯,2
59,6月份交了100，然后一个300，,2
60,嗯7月份招100，然后还有一个500。,2
61,嗯8月份交过100块和一个300块。,2
62,噢8月份有两个100，一个300，总共是500块钱。,2
63,嗯,2
64,9月份的话，这边是交了也是交的500块钱，两个100，一个300。,2
65,押了500。,2
66,9月份总共交了500块钱一个，300两个100。,2
67,噢你不用跟我说，总共你给我说分开就可以了。,2
68,嗯。,2
69,就是说我们没有预存过话费。,2
70,我居然没有查到，更多的预存都是您分,2
71,分月存入到账的。,2
72,嗯然后我们是什么时候办的这个套餐呢。,2
73,2018年1月29号。,2
74,2018年1月。,2
75,对。,2
76,那2018年1月份开始有没有就是说,2
77,嗯预存过没有？,2
78,稍等一下。,2
79,麻烦您稍等一下。,2
80,嗯,2
81,您去年1月份再办这个套餐的时候，也没有过多的预存，就只有,2
82,月份有100元日性到账，有一个58反正150块钱，,2
83,哦吴裕彤没有预存，,2
84,然后31号的时候全部200，就相当于您1月份呢也就只交了300多块钱，并没有过多的存入到账的。,2
85,嗯就是我我想请问一下我我请问一下，我们办的这个套餐的话呢是用的哪个名字呀是？,2
86,怎么不是我们这边？,2
87,人的名字，呢,2
88,你们这单位办的女士，我这边没有办法去帮您核实名字的，你们说噢不好意思，您这种单位产品您可以跟你们是谁办的，去核实一下，在线的话是没有办法直接帮您核实机主的名字或者是和身份证号码学习的，请谅解。,2
89,嗯我知道啊我知道就是说我我如果以后我们不不用这个单位办理，我们单位重新来办理的话，需要什么东西？,2
90,你是说你们单位重新来办理吗？,2
91,对，啊因为你看我们单位呢就是搬在这里来的时候，有一个就是说他是嗯什么电信局的吗什么什么的，,2
92,他就帮我们办的，他说他去给我们弄，然后我们就是我们领导嘛就是找他，但是找到他了之后，呢我们一次性就给了他很多钱，但是每个月光几个月，然后就停机，然后就没有缴费。,0
93,所以说我觉得他好像没有公办好我就说，我意思就说以后我们自己来办，,2
94,我们重新申请需要带什么东西？,2
95,如果您是重新新装的话，就是带着单位的营业执照和介绍信，以及经办人，比如说您在受理这个业务，您就是新办人吗？您带着,2
96,单位的证件和您自己的身份证原件在当地的营业厅来登记办理就可以了。,2
97,嗯那个需不需要？,2
98,额外缴费呢。,2
99,新庄的话就按照新装的价格来算，因为你们这种如果是装这种类型的话，就相当于是那个单位产品，嘛嗯单位产品的话那就是直接以公资源跟您核实价格为准的。,2
100,嗯就是说我我办了这个套餐之后，500少，我我打个比方嘛500就500，然后会不会就是额外再有个什么开户费啊什么什么的？,2
101,嗯分装这个资费的话，因为我这边只是涉及到单位的那个价格，噢只是涉到个人的价格，确实没有单位的价格，你们现在有的话您可以看一下，可以联系那个当初您受理的工作人员或者跟你们单位的嗯工作，就是同事们确认一下当时会是谁的身份证，如果能够确认下来，你们可以直接比如说您对那个基础需要调整，您改户主名字就可以了，如果是确实合适不了，你也不愿意去核实，想要重新再,1
102,装一个，我可以帮您直接预约，那么新装的价格呢我这边只能帮您做，嗯帮您就是介绍一下套餐，,1
103,介绍一下看到它的价格，您做参考，实际新装，啊比如说安装资费啊或者是社交这些费用的话，都是由政企客户经理跟您沟通核实的为准。,2
104,嗯就是这个人吗今天,2
105,我们的我们的那个宽带总是停机，手机总是停机，他没有按时给我们缴费，然后他呢就是一个中间人，他也不是电信级的，,0
106,他跟我们办的，然后我就说他，我说没有我们缴费，他就说他不缺，我们这个来说就不愿意做我们生意之类的，好像没有赚钱，嘛,0
107,也就说我们自己来办，我也不知道他跟我们申请的是哪个单位，哪个基础。,2
108,我知道您的意思，那您现在这个情况的话，,2
109,如果您确定要重新装一个话，我可以帮您直接下一个那个新装的单子，预约公司人过来给您核实安装，那么价格的话套餐您现在这个我可以直接跟您说一下，像那种类型套餐你做参考，然后实际新装的话就是安装资费这一块，你就跟公司人直接沟通就可以了。,2
110,但是我们之前已经给了很多钱了，呀。,0
111,我知道您的意思，女士，那我的意思就是说您可以找一下这个中间人帮您帮忙的这个给您核实一下，可以跟他沟通一下。,2
112,愿意退钱的！,2
113,这个不是他愿不愿意的问题，您先听我这样说，您这样子处理他，首先他既然收了你这个费用，您肯定有交代程序这些的，然后说了之后又不又不把这个事情给您办好，而且您想一下，如果他不是电信工作人，他可能也是没有权利去受理的，可能。,1
114,或者是他是咱们那种嗯就是他通过某些渠道是通它作为中间人，通过某些情绪给您办，那他没把这个事情给您办好，您肯定要追究他的责任，啊对不对？,1
115,那我们先不管它出电信，呢您先去沟通，,1
116,沟通不下来您问一下他当时是通过什么渠道给您办的，您问好详细信息。,1
117,通过我们这边再给您反馈，因为这个问题我只能给您查询和解释，但是我没有办法直接去给您处理，那您到时候沟通不下来的时候，需要我们这边协助呢我们前台工程，,1
118,会通过您提供的信息去帮您那个记录反馈这样子的。,2
119,但是他是个人，,2
120,于是他欺骗我们，为了一百一千多块钱去追究责任，你麻烦吗？,0
121,您看这个那您现在跟我说，我记得确实没有办法，那您看您跟我说这么多，您是希望我怎么帮您解答这个问题，或者您希望得到我这边给到怎样子的答复？呢,2
122,嗯。,2
123,我就是想了解清楚我们有没有预存，我跟他说，我说你没有把话费给我们缴够，他说我之前有预存2400，,2
124,就是现在我就想了解清楚，我们从开户到现在有没有预存过2400，,2
125,我这边确实没有查看到预存的2400，那您可以跟他问一下，他会不会是给您做了返费这种形式，我查过您这个账户。,2
126,也按照您的要求，从您开户到现在一直在给您查查，现在为止确实没有看到您说的那个什么意思，啊但是您这个呢有一个分费，每个月增费是按照您的一个销量比例去给您返的，每个月是有一个补贴金100块钱，,2
127,这个是做返费，不是直接预存的。,2
128,嗯好好，我知道了，好，谢谢！,1
129,应该的，还有其他问题吗？,2
130,没有，啊谢谢，拜拜！,1
131,请稍帮她回复一下，免费短信，您评价一下，谢谢女士，祝您生活愉快，再见！,2
132,3167。,2
133,号客服代表会，您服务您好！,2
134,请什么可以帮您。,2
135,喂你好你好！,2
136,唉你好！我要投诉一下那个四川大学望江校区里的那个电信！,0
137,也行，嗯。,2
138,向你说一下什么问题！,2
139,说一下啊。,2
140,是这样，那个您可以看到我这个号应该是18年左右办的套餐，然后有一个48个月的，,2
141,协议噢。,2
142,当时办的时候呢我我忘了，他也没有跟我讲，但是我。,0
143,钱！,2
144,九年6月份左右，我从四川大学毕业的时候，我去我刚才说的学校那边营业厅，我问他，我这个号可不可以？,2
145,有没有？,2
146,什么协议，啊可不可以再聚焦号什么的，他跟我保证说可以。,2
147,然后我刚刚在在辽宁大连的一个。,2
148,营业厅。,2
149,办的时候，他让我打电话确认一下有没有协议，我就跟你们100给你们电话打个电话，然后他那个客服跟我查完，说我这有协议交不了，所以我先要投诉一下师范大学，那个。,0
150,营业厅他。,2
151,没有把这些情况我讲清楚，好的我给你听。,2
152,先说一下，行吧！,2
153,稍等一下。,2
154,然后呢我现在还是想就是,2
155,把这个号消掉，因为我要出国了，我不拿这个电话号，所以你看看您有什么办法？,2
156,刚才我们的明天,2
157,大概我们给我我就是给你反馈进去了，呀到时候我们会上给你联系一下，等下先让我就是的。,2
158,看一下，你就这个卡这边已经办理了是吧？,2
159,我实际上是卡已经办理了，啊,2
160,就我的意思就是那个号码卡是在就是你要投这个营业厅来办理的是吧？,2
161,对，我这张卡是在成都办的，然后我现在人在一块地，然后我出国的话我也不会经过,2
162,我让我回城，公司把这件事情办我也活不了了，嗯,2
163,你说盈利是不是就是一个武侯区川大望江校园听这个是吗？,2
164,对，应该是就是在四川大学望江校区那个专业内的那个。,2
165,我给你记录一下什么一下。,2
166,完你这是他那边改个套餐是吧？办理业务。,2
167,啊我。,2
168,应该是18年的时候，从潜力就是校园套餐改到了现在这个套餐。,2
169,嗯对就是。,2
170,一般9月份改的。,2
171,为记录下嗯。,2
172,当时他怎么跟我讲，我这个套餐协议我也记不清了，但是我今年6月份应该是6月份左右，我借从学校回走之前绝对去问过他，然后他没有跟我讲我我有什么协议，然后在一期多久交不了这个事情，他就给我保证我可以交，要不然当时我就把号消了，嗯,0
173,你是什么设计是什么时候问的？,2
174,就是这一次就什么时候问的，那个一听。,2
175,这。,2
176,一次就是刚刚大概15分钟之前，我刚从这边营业厅出来。,2
177,啊不是，就是说你这边是之前你去问他营业厅就说是说是没有什么协议的事，一定是什么什么？,2
178,那应该是今年的6月份，具体多久我记不清了，今年6月,2
179,6月份，97年左右6月左右嘛是吧？,2
180,说一下。,2
181,就是你刚说的就是有没有什么活跃限制还是没有是吧？,2
182,对，他没有跟我说什么限制。,0
183,省钱。,2
184,你现在在哪里？,2
185,我现在在辽宁大连,2
186,在辽宁省外是吧？对。,2
187,就辽宁去申请一个直销商资料表是吧？,2
188,请一下嗯。,2
189,啊,2
190,现在现在目的是要求注销号码是吧？就取消合约，,2
191,对，我现在我现在是想把这个号消掉。,0
192,上一下。,2
193,因为你们这边跟我说我教不了好的原因是因为我有，你能把这个。解决一下，那个你你但是我之前都并不知道。是吧？,0
194,试一下。,2
195,最好在。,2
196,明天就是。,2
197,今明两天给我那个回复，因为我6号就出国的机票了！,2
198,盛夏，,2
199,下午给哪个情况记录好了先生，你留个联系方式，我,2
200,啊就先打这个电话，吧不是现在还交不了现金本期了是吧？,2
201,对，打这个本机，请你打三盘三通，噢这个情况我这边记录给你返过来是吧？,2
202,到时候我们会单位给你联系，给您直接方式好吧？好，谢谢您，谢谢。,1
203,好再见。,2
204,好愉快，再见！,2
205,嗯嗯再见。,2
206,4692。,2
207,号客服代表会您服务您好，有什么可以帮您？,2
